Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
nio.NioServer,nio:server,NioServer,nio:server,setFactories,set:factories,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener,inputport.nio.manager.factories.selectors.AcceptCommandFactorySelector,accept:command:factory:selector,inputport.nio.manager.factories.selectors.AcceptCommandFactorySelector,accept:command:factory:selector,setFactory,set:factory
nio.NioServer,nio:server,NioServer,nio:server,setFactories,set:factories,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener,inputport.nio.manager.factories.classes.AnAcceptCommandFactory,an:accept:command:factory,inputport.nio.manager.factories.classes.AnAcceptCommandFactory,an:accept:command:factory,AnAcceptCommandFactory,an:accept:command:factory
nio.NioServer,nio:server,NioServer,nio:server,setTracing,set:tracing,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener,util.trace.factories.FactoryTraceUtility,factory:trace:utility,util.trace.factories.FactoryTraceUtility,factory:trace:utility,setTracing,set:tracing
nio.NioServer,nio:server,NioServer,nio:server,setTracing,set:tracing,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener,util.trace.port.nio.NIOTraceUtility,nio:trace:utility,util.trace.port.nio.NIOTraceUtility,nio:trace:utility,setTracing,set:tracing
nio.NioServer,nio:server,NioServer,nio:server,initialize,initialize,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener,java.nio.channels.ServerSocketChannel,server:socket:channel,java.nio.channels.ServerSocketChannel,server:socket:channel,open,open
nio.NioServer,nio:server,NioServer,nio:server,initialize,initialize,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener,java.net.InetSocketAddress,socket:address,java.net.InetSocketAddress,socket:address,InetSocketAddress,socket:address
nio.NioServer,nio:server,NioServer,nio:server,initialize,initialize,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener,java.nio.channels.ServerSocketChannel,server:socket:channel,java.nio.channels.ServerSocketChannel,server:socket:channel,bind,bind
nio.NioServer,nio:server,NioServer,nio:server,initialize,initialize,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener,java.nio.channels.ServerSocketChannel,server:socket:channel,java.nio.channels.ServerSocketChannel,server:socket:channel,socket,socket
nio.NioServer,nio:server,NioServer,nio:server,initialize,initialize,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener,util.trace.port.nio.SocketChannelBound,socket:channel:bound,util.trace.port.nio.SocketChannelBound,socket:channel:bound,newCase,new:case
nio.NioServer,nio:server,NioServer,nio:server,initialize,initialize,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener,inputport.nio.manager.NIOManager,nio:manager,inputport.nio.manager.NIOManager,nio:manager,enableListenableAccepts,enable:accepts
nio.NioServer,nio:server,NioServer,nio:server,initialize,initialize,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener,java.io.IOException,io:exception,java.io.IOException,io:exception,printStackTrace,print:stack:trace
nio.NioServer,nio:server,NioServer,nio:server,initialize,initialize,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener,Thread,thread,java.lang.Thread,thread,Thread,thread
nio.NioServer,nio:server,NioServer,nio:server,initialize,initialize,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener,Thread,thread,java.lang.Thread,thread,start,start
nio.NioServer,nio:server,NioServer,nio:server,socketChannelAccepted,socket:channel:accepted,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener,inputport.nio.manager.NIOManager,nio:manager,inputport.nio.manager.NIOManager,nio:manager,addReadListener,add:read:listener
nio.NioServer,nio:server,NioServer,nio:server,socketChannelAccepted,socket:channel:accepted,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener,java.util.List,list,java.util.List,list,add,add
nio.NioServer,nio:server,NioServer,nio:server,socketChannelRead,socket:channel:read,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener,assignments.util.MiscAssignmentUtils,assignment,assignments.util.MiscAssignmentUtils,assignment,deepDuplicate,deep:duplicate
nio.NioServer,nio:server,NioServer,nio:server,socketChannelRead,socket:channel:read,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener,java.util.concurrent.ArrayBlockingQueue,array:blocking:queue,java.util.concurrent.ArrayBlockingQueue,array:blocking:queue,add,add
nio.NioServer,nio:server,NioServer,nio:server,socketChannelRead,socket:channel:read,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener,String,string,java.lang.String,string,String,string
nio.NioServer,nio:server,NioServer,nio:server,socketChannelRead,socket:channel:read,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener,java.nio.ByteBuffer,byte:buffer,java.nio.ByteBuffer,byte:buffer,array,array
nio.NioServer,nio:server,NioServer,nio:server,socketChannelRead,socket:channel:read,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener,java.nio.ByteBuffer,byte:buffer,java.nio.ByteBuffer,byte:buffer,position,position
nio.NioServer,nio:server,NioServer,nio:server,socketChannelRead,socket:channel:read,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
nio.NioServer,nio:server,NioServer,nio:server,socketChannelRead,socket:channel:read,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
nio.NioServer,nio:server,NioServer,nio:server,socketChannelRead,socket:channel:read,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener,utilRead.ReadThreadInterface,read:thread:interface,@DistributedTags.NIO+@DistributedTags.READ_THREAD_INTERFACE,distributed:tags:nio:distributed:tags:read:thread:interface,notifyThread,notify:thread
nio.NioServer,nio:server,NioServer,nio:server,socketChannelRead,socket:channel:read,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
nio.NioServer,nio:server,NioServer,nio:server,written,written,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener,String,string,java.lang.String,string,String,string
nio.NioServer,nio:server,NioServer,nio:server,written,written,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener,java.nio.ByteBuffer,byte:buffer,java.nio.ByteBuffer,byte:buffer,array,array
nio.NioServer,nio:server,NioServer,nio:server,written,written,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
utilRead.ServerReadThread,server:read:thread,@DistributedTags.NIO+@DistributedTags.SERVER_READ_THREAD,distributed:tags:nio:distributed:tags:server:read:thread,run,run,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener:@DistributedTags.NIO+@DistributedTags.READ_THREAD_INTERFACE:SocketChannelReadListener:Runnable,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener:distributed:tags:nio:distributed:tags:read:thread:interface:socket:channel:read:listener,utilRead.ServerReadThread,server:read:thread,@DistributedTags.NIO+@DistributedTags.SERVER_READ_THREAD,distributed:tags:nio:distributed:tags:server:read:thread,wait,wait
utilRead.ServerReadThread,server:read:thread,@DistributedTags.NIO+@DistributedTags.SERVER_READ_THREAD,distributed:tags:nio:distributed:tags:server:read:thread,run,run,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener:@DistributedTags.NIO+@DistributedTags.READ_THREAD_INTERFACE:SocketChannelReadListener:Runnable,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener:distributed:tags:nio:distributed:tags:read:thread:interface:socket:channel:read:listener,InterruptedException,interrupted:exception,java.lang.InterruptedException,interrupted:exception,printStackTrace,print:stack:trace
utilRead.ServerReadThread,server:read:thread,@DistributedTags.NIO+@DistributedTags.SERVER_READ_THREAD,distributed:tags:nio:distributed:tags:server:read:thread,run,run,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener:@DistributedTags.NIO+@DistributedTags.READ_THREAD_INTERFACE:SocketChannelReadListener:Runnable,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener:distributed:tags:nio:distributed:tags:read:thread:interface:socket:channel:read:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
utilRead.ServerReadThread,server:read:thread,@DistributedTags.NIO+@DistributedTags.SERVER_READ_THREAD,distributed:tags:nio:distributed:tags:server:read:thread,run,run,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener:@DistributedTags.NIO+@DistributedTags.READ_THREAD_INTERFACE:SocketChannelReadListener:Runnable,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener:distributed:tags:nio:distributed:tags:read:thread:interface:socket:channel:read:listener,java.util.concurrent.ArrayBlockingQueue,array:blocking:queue,java.util.concurrent.ArrayBlockingQueue,array:blocking:queue,take,take
utilRead.ServerReadThread,server:read:thread,@DistributedTags.NIO+@DistributedTags.SERVER_READ_THREAD,distributed:tags:nio:distributed:tags:server:read:thread,run,run,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener:@DistributedTags.NIO+@DistributedTags.READ_THREAD_INTERFACE:SocketChannelReadListener:Runnable,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener:distributed:tags:nio:distributed:tags:read:thread:interface:socket:channel:read:listener,InterruptedException,interrupted:exception,java.lang.InterruptedException,interrupted:exception,printStackTrace,print:stack:trace
utilRead.ServerReadThread,server:read:thread,@DistributedTags.NIO+@DistributedTags.SERVER_READ_THREAD,distributed:tags:nio:distributed:tags:server:read:thread,run,run,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener:@DistributedTags.NIO+@DistributedTags.READ_THREAD_INTERFACE:SocketChannelReadListener:Runnable,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener:distributed:tags:nio:distributed:tags:read:thread:interface:socket:channel:read:listener,assignments.util.MiscAssignmentUtils,assignment,assignments.util.MiscAssignmentUtils,assignment,deepDuplicate,deep:duplicate
utilRead.ServerReadThread,server:read:thread,@DistributedTags.NIO+@DistributedTags.SERVER_READ_THREAD,distributed:tags:nio:distributed:tags:server:read:thread,run,run,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener:@DistributedTags.NIO+@DistributedTags.READ_THREAD_INTERFACE:SocketChannelReadListener:Runnable,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener:distributed:tags:nio:distributed:tags:read:thread:interface:socket:channel:read:listener,java.util.concurrent.ArrayBlockingQueue,array:blocking:queue,java.util.concurrent.ArrayBlockingQueue,array:blocking:queue,ArrayBlockingQueue,array:blocking:queue
utilRead.ServerReadThread,server:read:thread,@DistributedTags.NIO+@DistributedTags.SERVER_READ_THREAD,distributed:tags:nio:distributed:tags:server:read:thread,run,run,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener:@DistributedTags.NIO+@DistributedTags.READ_THREAD_INTERFACE:SocketChannelReadListener:Runnable,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener:distributed:tags:nio:distributed:tags:read:thread:interface:socket:channel:read:listener,java.util.concurrent.ArrayBlockingQueue,array:blocking:queue,java.util.concurrent.ArrayBlockingQueue,array:blocking:queue,add,add
utilRead.ServerReadThread,server:read:thread,@DistributedTags.NIO+@DistributedTags.SERVER_READ_THREAD,distributed:tags:nio:distributed:tags:server:read:thread,run,run,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener:@DistributedTags.NIO+@DistributedTags.READ_THREAD_INTERFACE:SocketChannelReadListener:Runnable,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener:distributed:tags:nio:distributed:tags:read:thread:interface:socket:channel:read:listener,String,string,java.lang.String,string,String,string
utilRead.ServerReadThread,server:read:thread,@DistributedTags.NIO+@DistributedTags.SERVER_READ_THREAD,distributed:tags:nio:distributed:tags:server:read:thread,run,run,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener:@DistributedTags.NIO+@DistributedTags.READ_THREAD_INTERFACE:SocketChannelReadListener:Runnable,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener:distributed:tags:nio:distributed:tags:read:thread:interface:socket:channel:read:listener,java.nio.ByteBuffer,byte:buffer,java.nio.ByteBuffer,byte:buffer,array,array
utilRead.ServerReadThread,server:read:thread,@DistributedTags.NIO+@DistributedTags.SERVER_READ_THREAD,distributed:tags:nio:distributed:tags:server:read:thread,run,run,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener:@DistributedTags.NIO+@DistributedTags.READ_THREAD_INTERFACE:SocketChannelReadListener:Runnable,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener:distributed:tags:nio:distributed:tags:read:thread:interface:socket:channel:read:listener,Integer,integer,java.lang.Integer,integer,parseInt,parse:int
utilRead.ServerReadThread,server:read:thread,@DistributedTags.NIO+@DistributedTags.SERVER_READ_THREAD,distributed:tags:nio:distributed:tags:server:read:thread,run,run,SocketChannelAcceptListener:SocketChannelReadListener:SocketChannelWriteListener:@DistributedTags.NIO+@DistributedTags.READ_THREAD_INTERFACE:SocketChannelReadListener:Runnable,socket:channel:accept:listener:socket:channel:read:listener:socket:channel:write:listener:distributed:tags:nio:distributed:tags:read:thread:interface:socket:channel:read:listener,String,string,java.lang.String,string,substring,none
