Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
comp533.MvcTokenCounter,mvc:token:counter,@StandAloneTokenCounter,stand:alone:token:counter,main,main,none,none,comp533.controller.TokenCounterController,token:counter:controller,@ControllerClass,controller:class,TokenCounterController,token:counter:controller
comp533.MvcTokenCounter,mvc:token:counter,@StandAloneTokenCounter,stand:alone:token:counter,main,main,none,none,comp533.model.TokenCounterModel,token:counter:model,@ModelClass,model:class,TokenCounterModel,token:counter:model
comp533.MvcTokenCounter,mvc:token:counter,@StandAloneTokenCounter,stand:alone:token:counter,main,main,none,none,comp533.view.TokenCounterView,token:counter:view,@ViewClass,view:class,TokenCounterView,token:counter:view
comp533.MvcTokenCounter,mvc:token:counter,@StandAloneTokenCounter,stand:alone:token:counter,main,main,none,none,comp533.controller.TokenCounterController,token:counter:controller,@ControllerClass,controller:class,getUserInput,get:user:input
comp533.view.TokenCounterView,token:counter:view,@ViewClass,view:class,printNotification,print:notification,AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,tracePropertyChange,trace:property:change
comp533.joiner.TokenCounterJoiner,token:counter:joiner,@JoinerClass,joiner:class,finished,finished,AMapReduceTracer:AMapReduceTracer:@JoinerClass,a:map:reduce:tracer:a:map:reduce:tracer:joiner:class,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,traceJoinerFinishedTask,trace:joiner:finished:task
comp533.joiner.TokenCounterJoiner,token:counter:joiner,@JoinerClass,joiner:class,finished,finished,AMapReduceTracer:AMapReduceTracer:@JoinerClass,a:map:reduce:tracer:a:map:reduce:tracer:joiner:class,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,synchronizedNotify,synchronized:notify
comp533.joiner.TokenCounterJoiner,token:counter:joiner,@JoinerClass,joiner:class,finished,finished,AMapReduceTracer:AMapReduceTracer:@JoinerClass,a:map:reduce:tracer:a:map:reduce:tracer:joiner:class,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,traceJoinerRelease,trace:joiner:release
comp533.joiner.TokenCounterJoiner,token:counter:joiner,@JoinerClass,joiner:class,join,join,AMapReduceTracer:AMapReduceTracer:@JoinerClass,a:map:reduce:tracer:a:map:reduce:tracer:joiner:class,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,traceJoinerWaitStart,trace:joiner:wait:start
comp533.joiner.TokenCounterJoiner,token:counter:joiner,@JoinerClass,joiner:class,join,join,AMapReduceTracer:AMapReduceTracer:@JoinerClass,a:map:reduce:tracer:a:map:reduce:tracer:joiner:class,java.lang.Object,object,java.lang.Object,object,wait,wait
comp533.joiner.TokenCounterJoiner,token:counter:joiner,@JoinerClass,joiner:class,join,join,AMapReduceTracer:AMapReduceTracer:@JoinerClass,a:map:reduce:tracer:a:map:reduce:tracer:joiner:class,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,traceJoinerWaitEnd,trace:joiner:wait:end
