#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested,SessionNumber,SessionRunNumber,IsSuite,SuiteTests,PrerequisiteTests,ExtraCreditTests,TestScores,FailFromPreReq,
0,Tue Mar 01 12:02:23 EST 2022,0,0,A3SpecificStyleSuite, , ,A3ExpectedCalls+ A3ExpectedInterfaces+ A3ExpectedSignatures+ A3SpuriousCalls+ ,A3AccessModifiersMatched A3ConfigurationProvided A3InterfaceAsType A3MnemonicNames A3NamedConstants A3NoCheckstyleWarnings A3PublicMethodsOverride ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartialReduce ClientSumPartitionReduce ClientSumQuit ClientTokenCountPartialReduce ClientTokenCountPartition3Reduce ClientTokenCountQuit DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumPartialReduce DistributedSumQuit DistributedSumResult DistributedTokenCountPartialReduce DistributedTokenCountQuit DistributedTokenCountResult ,0,0,true,A3ExpectedCalls A3ExpectedInterfaces A3ExpectedSignatures A3SpuriousCalls , , ,A3ExpectedCalls-(0.0/20.0) A3ExpectedInterfaces-(0.0/5.0) A3ExpectedSignatures-(0.0/5.0) A3SpuriousCalls-(0.0/20.0) , ,
1,Tue Mar 01 12:02:34 EST 2022,0,0,BasicDistributedCounts, , ,A3ConfigurationProvided+ A3ExpectedCalls A3ExpectedInterfaces A3ExpectedSignatures A3SpuriousCalls ClientTokenCountPartialReduce+ ClientTokenCountQuit+ DistributedTokenCountPartialReduce+ DistributedTokenCountQuit+ DistributedTokenCountResult+ ,A3AccessModifiersMatched A3InterfaceAsType A3MnemonicNames A3NamedConstants A3NoCheckstyleWarnings A3PublicMethodsOverride ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartialReduce ClientSumPartitionReduce ClientSumQuit ClientTokenCountPartition3Reduce DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumPartialReduce DistributedSumQuit DistributedSumResult ,0,1,true,ClientTokenCountPartialReduce ClientTokenCountQuit DistributedTokenCountPartialReduce DistributedTokenCountQuit DistributedTokenCountResult ,A3ConfigurationProvided , ,ClientTokenCountPartialReduce-(0.0/15.0) ClientTokenCountQuit-(0.0/15.0) DistributedTokenCountPartialReduce-(0.0/15.0) DistributedTokenCountQuit-(0.0/15.0) DistributedTokenCountResult-(0.0/15.0) , ,
2,Tue Mar 01 12:02:36 EST 2022,0,0,BasicDistributedFacebookMapReduce, , ,A3ConfigurationProvided A3ExpectedCalls A3ExpectedInterfaces A3ExpectedSignatures A3SpuriousCalls ClientFacebookMapReducePartialReduce+ ClientFacebookMapReduceQuit+ ClientTokenCountPartialReduce ClientTokenCountQuit DistributedFacebookMapReducePartialReduce+ DistributedFacebookMapReduceQuit+ DistributedFacebookMapReduceResult+ DistributedTokenCountPartialReduce DistributedTokenCountQuit DistributedTokenCountResult ,A3AccessModifiersMatched A3InterfaceAsType A3MnemonicNames A3NamedConstants A3NoCheckstyleWarnings A3PublicMethodsOverride ClientSumPartialReduce ClientSumPartitionReduce ClientSumQuit ClientTokenCountPartition3Reduce DistributedSumPartialReduce DistributedSumQuit DistributedSumResult ,0,2,true,ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult , ,ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult ,ClientFacebookMapReducePartialReduce-(0.0/10.0) ClientFacebookMapReduceQuit-(0.0/10.0) DistributedFacebookMapReducePartialReduce-(0.0/10.0) DistributedFacebookMapReduceQuit-(0.0/10.0) DistributedFacebookMapReduceResult-(0.0/10.0) , ,
3,Tue Mar 01 12:02:40 EST 2022,0,0,DistributedPartitionedReduce, , ,A3ConfigurationProvided A3ExpectedCalls A3ExpectedInterfaces A3ExpectedSignatures A3SpuriousCalls ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartitionReduce+ ClientTokenCountPartialReduce ClientTokenCountPartition3Reduce+ ClientTokenCountQuit DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumResult+ DistributedTokenCountPartialReduce DistributedTokenCountQuit DistributedTokenCountResult ,A3AccessModifiersMatched A3InterfaceAsType A3MnemonicNames A3NamedConstants A3NoCheckstyleWarnings A3PublicMethodsOverride ClientSumPartialReduce ClientSumQuit DistributedSumPartialReduce DistributedSumQuit ,0,3,true,ClientSumPartitionReduce ClientTokenCountPartition3Reduce ,DistributedSumResult , ,ClientSumPartitionReduce-(0.0/10.0) ClientTokenCountPartition3Reduce-(0.0/30.0) , ,
4,Tue Mar 01 12:02:43 EST 2022,0,0,A3GeneralStyleSuite, , ,A3AccessModifiersMatched+ A3ConfigurationProvided A3ExpectedCalls A3ExpectedInterfaces A3ExpectedSignatures A3InterfaceAsType+ A3MnemonicNames+ A3NamedConstants+ A3NoCheckstyleWarnings+ A3PublicMethodsOverride+ A3SpuriousCalls ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartitionReduce ClientTokenCountPartialReduce ClientTokenCountPartition3Reduce ClientTokenCountQuit DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumResult DistributedTokenCountPartialReduce DistributedTokenCountQuit DistributedTokenCountResult ,ClientSumPartialReduce ClientSumQuit DistributedSumPartialReduce DistributedSumQuit ,0,4,true,A3AccessModifiersMatched A3InterfaceAsType A3MnemonicNames A3NamedConstants A3NoCheckstyleWarnings A3PublicMethodsOverride , ,A3AccessModifiersMatched A3MnemonicNames A3NoCheckstyleWarnings A3PublicMethodsOverride ,A3AccessModifiersMatched-(0.0/5.0) A3InterfaceAsType-(0.0/10.0) A3MnemonicNames-(0.0/15.0) A3NamedConstants-(0.0/1.0) A3NoCheckstyleWarnings-(0.0/20.0) A3PublicMethodsOverride-(0.0/10.0) , ,
5,Tue Mar 01 12:20:14 EST 2022,3,3,A3SpecificStyleSuite,A3SpuriousCalls+ , ,A3AccessModifiersMatched A3ConfigurationProvided A3ExpectedCalls A3ExpectedInterfaces A3ExpectedSignatures A3InterfaceAsType A3MnemonicNames A3NamedConstants A3NoCheckstyleWarnings A3PublicMethodsOverride ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartitionReduce ClientTokenCountPartialReduce ClientTokenCountPartition3Reduce ClientTokenCountQuit DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumResult DistributedTokenCountPartialReduce DistributedTokenCountQuit DistributedTokenCountResult ,ClientSumPartialReduce ClientSumQuit DistributedSumPartialReduce DistributedSumQuit ,1,0,true,A3ExpectedCalls A3ExpectedInterfaces A3ExpectedSignatures A3SpuriousCalls , , ,A3ExpectedCalls-(0.0/20.0) A3ExpectedInterfaces-(0.0/5.0) A3ExpectedSignatures-(0.0/5.0) A3SpuriousCalls-(20.0/20.0) , ,
6,Tue Mar 01 13:03:55 EST 2022,3,0,A3SpecificStyleSuite,A3SpuriousCalls ,A3ExpectedCalls+ A3ExpectedInterfaces+ ,A3AccessModifiersMatched A3ConfigurationProvided A3ExpectedSignatures A3InterfaceAsType A3MnemonicNames A3NamedConstants A3NoCheckstyleWarnings A3PublicMethodsOverride ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartitionReduce ClientTokenCountPartialReduce ClientTokenCountPartition3Reduce ClientTokenCountQuit DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumResult DistributedTokenCountPartialReduce DistributedTokenCountQuit DistributedTokenCountResult ,ClientSumPartialReduce ClientSumQuit DistributedSumPartialReduce DistributedSumQuit ,2,0,true,A3ExpectedCalls A3ExpectedInterfaces A3ExpectedSignatures A3SpuriousCalls , , ,A3ExpectedCalls-(8.0/20.0) A3ExpectedInterfaces-(2.5/5.0) A3ExpectedSignatures-(0.0/5.0) A3SpuriousCalls-(20.0/20.0) , ,
7,Tue Mar 01 13:03:58 EST 2022,7,4,A3GeneralStyleSuite,A3AccessModifiersMatched+ A3SpuriousCalls ,A3ExpectedCalls A3ExpectedInterfaces A3InterfaceAsType+ A3MnemonicNames+ A3NamedConstants+ A3PublicMethodsOverride+ ,A3ConfigurationProvided A3ExpectedSignatures A3NoCheckstyleWarnings ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartitionReduce ClientTokenCountPartialReduce ClientTokenCountPartition3Reduce ClientTokenCountQuit DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumResult DistributedTokenCountPartialReduce DistributedTokenCountQuit DistributedTokenCountResult ,ClientSumPartialReduce ClientSumQuit DistributedSumPartialReduce DistributedSumQuit ,2,1,true,A3AccessModifiersMatched A3InterfaceAsType A3MnemonicNames A3NamedConstants A3NoCheckstyleWarnings A3PublicMethodsOverride , ,A3AccessModifiersMatched A3MnemonicNames A3NoCheckstyleWarnings A3PublicMethodsOverride ,A3AccessModifiersMatched-(5.0/5.0) A3InterfaceAsType-(3.7/10.0) A3MnemonicNames-(14.9/15.0) A3NamedConstants-(0.9/1.0) A3NoCheckstyleWarnings-(0.0/20.0) A3PublicMethodsOverride-(2.9/10.0) , ,
8,Tue Mar 01 13:04:01 EST 2022,7,0,BasicDistributedFacebookMapReduce,A3AccessModifiersMatched A3SpuriousCalls ,A3ExpectedCalls A3ExpectedInterfaces A3InterfaceAsType A3MnemonicNames A3NamedConstants A3PublicMethodsOverride ,A3ConfigurationProvided A3ExpectedSignatures A3NoCheckstyleWarnings ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartitionReduce ClientTokenCountPartialReduce ClientTokenCountPartition3Reduce ClientTokenCountQuit DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumResult DistributedTokenCountPartialReduce DistributedTokenCountQuit DistributedTokenCountResult ,ClientSumPartialReduce ClientSumQuit DistributedSumPartialReduce DistributedSumQuit ,2,2,true,ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult ,A3ConfigurationProvided ,ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult ,ClientFacebookMapReducePartialReduce-(0.0/10.0) ClientFacebookMapReduceQuit-(0.0/10.0) DistributedFacebookMapReducePartialReduce-(0.0/10.0) DistributedFacebookMapReduceQuit-(0.0/10.0) DistributedFacebookMapReduceResult-(0.0/10.0) , ,
9,Tue Mar 01 13:04:03 EST 2022,7,0,A3ConfigurationProvided,A3AccessModifiersMatched A3SpuriousCalls ,A3ExpectedCalls A3ExpectedInterfaces A3InterfaceAsType A3MnemonicNames A3NamedConstants A3PublicMethodsOverride ,A3ConfigurationProvided A3ExpectedSignatures A3NoCheckstyleWarnings ClientFacebookMapReducePartialReduce ClientFacebookMapReduceQuit ClientSumPartitionReduce ClientTokenCountPartialReduce ClientTokenCountPartition3Reduce ClientTokenCountQuit DistributedFacebookMapReducePartialReduce DistributedFacebookMapReduceQuit DistributedFacebookMapReduceResult DistributedSumResult DistributedTokenCountPartialReduce DistributedTokenCountQuit DistributedTokenCountResult ,ClientSumPartialReduce ClientSumQuit DistributedSumPartialReduce DistributedSumQuit ,2,3,false, , , ,A3ConfigurationProvided-(0.0/10.0) , ,
