Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Mon Feb 21 15:17:28 EST 2022,Joiner.java,1645474648312,45198,0,(F)1(I)1,0.5,0.0,0.0,50.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.022222222222222223,0.0,0.0,0.022222222222222223,0.0,[]
,/modelData/A0UserStudy2010.arff,Mon Feb 21 15:17:28 EST 2022,Joiner.java, 1645474648312
2,,Mon Feb 21 15:18:20 EST 2022,TokenCounterJoiner.java,1645474700083,46117,0,(I)2(R)2(F)2(D)1(F)1(D)1,0.2222222222222222,22.22222222222222,0.0,33.33333333333333,0.0,0.0,0.1956521739130435,0.0,0.043478260869565216,0.06521739130434782,0.0,0.043478260869565216,0.043478260869565216,0.0,[]
3,,Mon Feb 21 15:19:06 EST 2022,TokenCounterJoiner.java,1645474746201,40749,0,(F)1(I)2(D)1(F)1,0.4,20.0,0.0,40.0,0.0,0.0,0.125,0.0,0.025,0.05,0.0,0.0,0.05,0.0,[]
4,,Mon Feb 21 15:19:47 EST 2022,TokenCounterJoiner.java,1645474787906,19532,0,(F)1(I)5(R)2(D)1(F)1,0.5,10.0,0.0,20.0,0.0,0.0,0.5263157894736842,0.0,0.05263157894736842,0.10526315789473684,0.0,0.10526315789473684,0.2631578947368421,0.0,[]
5,,Mon Feb 21 15:20:09 EST 2022,TokenCounterJoiner.java,1645474809441,72787,0,(D)2,0.0,100.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,1.0,[]
6,,Mon Feb 21 15:21:22 EST 2022,TokenCounterJoiner.java,1645474882233,36240,0,(F)3(I)1(R)2(I)1,0.2857142857142857,0.0,0.0,42.857142857142854,0.0,0.0,0.19444444444444445,0.0,0.0,0.08333333333333333,0.0,0.05555555555555555,0.05555555555555555,0.0,[]
7,,Mon Feb 21 15:21:58 EST 2022,TokenCounterJoiner.java,1645474918483,21865,0,(I)1(D)1(F)1,0.3333333333333333,33.33333333333333,0.0,33.33333333333333,0.0,0.0,0.14285714285714285,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,[]
8,,Mon Feb 21 15:22:20 EST 2022,TokenCounterJoiner.java,1645474940605,20934,0,(D)1,0.0,100.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,[]
9,,Mon Feb 21 15:22:41 EST 2022,TokenCounterJoiner.java,1645474961539,37757,0,(F)1(I)2(R)5(I)1,0.3333333333333333,0.0,0.0,11.11111111111111,0.0,0.0,0.24324324324324326,0.0,0.0,0.02702702702702703,0.0,0.13513513513513514,0.08108108108108109,0.0,[]
10,,Mon Feb 21 15:23:19 EST 2022,TokenCounterJoiner.java,1645474999296,59464,0,(I)3(D)1(F)2(I)1(F)4(I)1,0.4166666666666667,8.333333333333332,0.0,50.0,0.0,0.0,0.2033898305084746,0.0,0.01694915254237288,0.1016949152542373,0.0,0.0,0.0847457627118644,0.0,[]
11,,Mon Feb 21 15:24:19 EST 2022,TokenCounterJoiner.java,1645475059362,20407,0,(R)2(I)1(R)2(D)1(F)1(D)1,0.125,25.0,0.0,12.5,0.0,0.0,0.4,0.0,0.1,0.05,0.0,0.2,0.05,0.0,[]
12,,Mon Feb 21 15:24:39 EST 2022,TokenCounterJoiner.java,1645475079918,41995,0,(F)1(I)3(D)1(F)1,0.5,16.666666666666664,0.0,33.33333333333333,0.0,0.0,0.14634146341463414,0.0,0.024390243902439025,0.04878048780487805,0.0,0.0,0.07317073170731707,0.0,[]
