Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Tue Feb 15 13:54:34 EST 2022,MvcTokenCounter.java,1644951274088,31629,0,(I)1(D)2(I)1(D)1(F)1,0.3333333333333333,50.0,0.0,16.666666666666664,0.0,0.0,0.1935483870967742,0.0,0.0967741935483871,0.03225806451612903,0.0,0.0,0.06451612903225806,0.0,[]
,/modelData/A0UserStudy2010.arff,Tue Feb 15 13:54:34 EST 2022,MvcTokenCounter.java, 1644951274088
2,,Tue Feb 15 13:55:05 EST 2022,TokenCounterBarrier.java,1644951305717,204471,0,(F)3(I)11,0.7857142857142857,0.0,0.0,21.428571428571427,0.0,0.0,0.06862745098039216,0.0,0.0,0.014705882352941176,0.0,0.0,0.05392156862745098,0.0,[]
3,,Tue Feb 15 13:58:30 EST 2022,TokenCounterSlave.java,1644951510337,58683,0,(I)2(F)2(I)11,0.8666666666666667,0.0,0.0,13.333333333333334,0.0,0.0,0.25862068965517243,0.0,0.0,0.034482758620689655,0.0,0.0,0.22413793103448276,0.0,[]
4,,Tue Feb 15 13:59:30 EST 2022,TokenCounterPartitioner.java,1644951570583,-164173,-164173,(I)8(F)2(I)2,0.8333333333333334,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
5,,Tue Feb 15 13:56:46 EST 2022,TokenCounterPartitioner.java,1644951406999,202452,0,(I)11,1.0,0.0,0.0,0.0,0.0,0.0,0.054455445544554455,0.0,0.0,0.0,0.0,0.0,0.054455445544554455,0.0,[]
6,,Tue Feb 15 14:00:10 EST 2022,TokenCounterPartitioner.java,1644951610284,53390,0,(I)15(F)2,0.8823529411764706,0.0,0.0,11.76470588235294,0.0,0.0,0.32075471698113206,0.0,0.0,0.03773584905660377,0.0,0.0,0.2830188679245283,0.0,[]
7,,Tue Feb 15 14:01:03 EST 2022,TokenCounterSlave.java,1644951663755,209731,0,(I)6(F)2(I)6,0.8571428571428571,0.0,0.0,14.285714285714285,0.0,0.0,0.06698564593301436,0.0,0.0,0.009569377990430622,0.0,0.0,0.05741626794258373,0.0,[]
8,,Tue Feb 15 14:04:33 EST 2022,TokenCounterSlave.java,1644951873868,152638,0,(I)16(F)1,0.9411764705882353,0.0,0.0,5.88235294117647,0.0,0.0,0.1118421052631579,0.0,0.0,0.006578947368421052,0.0,0.0,0.10526315789473684,6.0,[1644951934231 2 assignments20 - Google ???? https://drive.google.com/drive/folders/1Uu8rLL9_fROVDEDYFx-JPVmhKoi4vEDB, 1644951934468 1 assignments - Google ???? https://drive.google.com/drive/folders/1zhOBSVDk69YmFLITvQxeVM1ns3tRpnyt]
9,,Tue Feb 15 14:07:06 EST 2022,TokenCounterSlave.java,1644952026506,36524,0,(F)1(I)1(F)4(I)1(F)4,0.18181818181818182,0.0,0.0,81.81818181818183,0.0,0.0,0.3055555555555556,0.0,0.0,0.25,0.0,0.0,0.05555555555555555,0.0,[]
10,,Tue Feb 15 14:07:43 EST 2022,TokenCounterSlave.java,1644952063030,10513,0,(F)13,0.0,0.0,0.0,100.0,0.0,0.0,1.3,0.0,0.0,1.3,0.0,0.0,0.0,0.0,[]
11,,Tue Feb 15 14:07:53 EST 2022,TokenCounterSlave.java,1644952073635,-200156,-200156,(F)7(I)11,0.6111111111111112,0.0,0.0,38.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
12,,Tue Feb 15 14:04:37 EST 2022,TokenCounterSlave.java,1644951877122,207728,0,(I)13(F)2(I)1(F)2(I)1(F)2(I)1,0.7272727272727273,0.0,0.0,27.27272727272727,0.0,0.0,0.10628019323671498,0.0,0.0,0.028985507246376812,0.0,0.0,0.07729468599033816,6.0,[1644951934231 2 assignments20 - Google ???? https://drive.google.com/drive/folders/1Uu8rLL9_fROVDEDYFx-JPVmhKoi4vEDB, 1644951934468 1 assignments - Google ???? https://drive.google.com/drive/folders/1zhOBSVDk69YmFLITvQxeVM1ns3tRpnyt]
