Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Tue Mar 15 22:47:23 EDT 2022,Slave.java,1647398843796,45759,0,(D)1(F)2(D)1(F)5,0.0,22.22222222222222,0.0,77.77777777777779,0.0,0.0,0.2,0.0,0.044444444444444446,0.15555555555555556,0.0,0.0,0.0,0.0,[]
,/modelData/A0UserStudy2010.arff,Tue Mar 15 22:47:23 EDT 2022,Slave.java, 1647398843796
2,,Tue Mar 15 22:48:12 EDT 2022,FacebookSlave.java,1647398892529,99600,0,(F)3(I)3(F)2(I)6,0.6428571428571429,0.0,0.0,35.714285714285715,0.0,0.0,0.1414141414141414,0.0,0.0,0.050505050505050504,0.0,0.0,0.09090909090909091,2.0,[1647398948945 1 ConcurrentModificationException (Java Platform SE 7 ) https://docs.oracle.com/javase/7/docs/api/java/util/ConcurrentModificationException.html]
3,,Tue Mar 15 22:49:52 EDT 2022,FacebookSlave.java,1647398992251,15791,0,(D)1(F)1,0.0,50.0,0.0,50.0,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,[]
4,,Tue Mar 15 22:50:08 EDT 2022,FacebookSlave.java,1647399008045,13702,0,(F)5,0.0,0.0,0.0,100.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,[]
5,,Tue Mar 15 22:50:24 EDT 2022,FacebookSlave.java,1647399024002,49231,0,(F)12,0.0,0.0,0.0,100.0,0.0,0.0,0.24489795918367346,0.0,0.0,0.24489795918367346,0.0,0.0,0.0,0.0,[]
6,,Tue Mar 15 22:51:13 EDT 2022,RemoteClientFacebookMapReduce.java,1647399073233,98461,0,(F)1(D)1(F)3(I)2(F)1,0.25,12.5,0.0,62.5,0.0,0.0,0.08163265306122448,0.0,0.01020408163265306,0.05102040816326531,0.0,0.0,0.02040816326530612,3.0,[1647399091379 2 java rmi everything server no client - Google ?? https://www.google.com/search?q=java+rmi+everything+server+no+client&rlz=1C1FQRR_enJP961__961&oq=java+rmi+everything+server+no+client&aqs=chrome..69i57j33i160l2.14406j0j4&sourceid=chrome&ie=UTF-8, 1647399112311 1 Java RMI server to client communication not working - Stack Overflow https://stackoverflow.com/questions/44912840/java-rmi-server-to-client-communication-not-working]
7,,Tue Mar 15 22:52:51 EDT 2022,RunSpring22Assignment3Tests.java,1647399171694,64069,0,(F)5,0.0,0.0,0.0,100.0,0.0,0.0,0.078125,0.0,0.0,0.078125,0.0,0.0,0.0,0.0,[]
8,,Tue Mar 15 22:53:58 EDT 2022,RunSpring22Assignment3Tests.java,1647399238611,16984,0,(I)2(R)1(I)1(R)1(I)1,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.125,0.25,0.0,[]
9,,Tue Mar 15 22:54:15 EDT 2022,FacebookPartitioner.java,1647399255595,30856,0,(I)1(R)1(I)2(F)2,0.5,0.0,0.0,33.33333333333333,0.0,0.0,0.2,0.0,0.0,0.06666666666666667,0.0,0.03333333333333333,0.1,0.0,[]
10,,Tue Mar 15 22:54:51 EDT 2022,Client.java,1647399291900,-25019,-25019,(I)3(F)1(I)2(R)1(I)1(R)1(I)1(R)1(I)1(R)1(I)1,0.6428571428571429,0.0,0.0,7.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
11,,Tue Mar 15 22:54:27 EDT 2022,MyMapReduceConfiguration.java,1647399267765,109379,0,(R)1(I)1(R)1(I)1(F)1(I)5(F)1,0.6363636363636364,0.0,0.0,18.181818181818183,0.0,0.0,0.10091743119266056,0.0,0.0,0.01834862385321101,0.0,0.01834862385321101,0.06422018348623854,0.0,[]
12,,Tue Mar 15 22:56:17 EDT 2022,ServerFacebookMapReduce.java,1647399377144,170818,0,(F)5(I)2(D)1,0.25,12.5,0.0,62.5,0.0,0.0,0.047058823529411764,0.0,0.0058823529411764705,0.029411764705882353,0.0,0.0,0.011764705882352941,0.0,[]
