0,Tue May 03 17:18:25 EDT 2022,true,client\ClientRemoteObject.java,nameNotInDictionary,serverGIPC,gipc
0,Tue May 03 17:18:25 EDT 2022,true,client\ClientRemoteObject.java,nameNotInDictionary,GIPC_SERVER_PORT,gipc
0,Tue May 03 17:18:25 EDT 2022,true,client\ClientRemoteObject.java,nameNotInDictionary,gipcRegistry,gipc
0,Tue May 03 17:18:25 EDT 2022,true,client\ClientRemoteObject.java,nameNotInDictionary,GIPC_SERVER_NAME,gipc
0,Tue May 03 17:18:25 EDT 2022,true,client\ClientRemoteObject.java,nameNotInDictionary,broadcastIPCMechanism,ipc
0,Tue May 03 17:18:25 EDT 2022,true,client\ClientRemoteObject.java,classDoesNotHaveExactlyOneInterface,client.ClientRemoteObject,No Tag
0,Tue May 03 17:18:25 EDT 2022,true,client\ClientRemoteObject.java,publicMethodsOverride,[]
0,Tue May 03 17:18:25 EDT 2022,true,client\ClientConfigure.java,nameNotInDictionary,serverGIPC,gipc
0,Tue May 03 17:18:25 EDT 2022,true,client\ClientConfigure.java,nameNotInDictionary,GIPC_SERVER_PORT,gipc
0,Tue May 03 17:18:25 EDT 2022,true,client\ClientConfigure.java,nameNotInDictionary,gipcRegistry,gipc
0,Tue May 03 17:18:25 EDT 2022,true,client\ClientConfigure.java,nameNotInDictionary,GIPC_SERVER_NAME,gipc
0,Tue May 03 17:18:25 EDT 2022,true,client\ClientConfigure.java,nameNotInDictionary,broadcastIPCMechanism,ipc
0,Tue May 03 17:18:25 EDT 2022,true,client\ClientConfigure.java,nameNotInDictionary,broadcastIPCMechanism1,ipc
0,Tue May 03 17:18:25 EDT 2022,true,client\ClientConfigure.java,publicMethodsOverride,[]
0,Tue May 03 17:18:25 EDT 2022,true,nioExample\AnNIOManagerPrintServer.java,classDecomposition,[[public  socketChannelRead:java.nio.channels.SocketChannel;java.nio.ByteBuffer;int->void, public  getSocketChannel:->java.nio.channels.SocketChannel, public  getSocketList:->java.util.List, public  getBoundedBuffer:->java.util.concurrent.ArrayBlockingQueue], [default initialize:int->void]]
0,Tue May 03 17:18:25 EDT 2022,true,nioExample\AnNIOManagerPrintServer.java,publicMethodsOverride,[]
0,Tue May 03 17:18:25 EDT 2022,true,client\ClientRemoteObjectNIO.java,nameNotInDictionary,broadcastIPCMechanism,ipc
0,Tue May 03 17:18:25 EDT 2022,true,client\ClientRemoteObjectNIO.java,classDecomposition,[[public  getBoundedBuffer:->java.util.concurrent.ArrayBlockingQueue], [public  init:String[]->void, public  simulationCommand:String->void]]
0,Tue May 03 17:18:25 EDT 2022,true,client\ClientRemoteObjectNIO.java,publicMethodsOverride,[]
