#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Tue May 03 17:02:28 EDT 2022,0,0,Assignment6OneClientSuite, , ,GIPCRMINIOOneClientConnection+ GIPCRMINIOOneClientReadWriteNonAtomic+ GIPCRMINIOStaticArguments+ ,A6AccessModifiersMatched A6ExpectedCalls A6ExpectedInterfaces A6ExpectedSignatures A6InterfaceAsType A6MnemonicNames A6NamedConstants A6NoCheckstyleWarnings A6ProjectOrganization A6PublicMethodsOverride A6TaggedClassesDefined GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic ,
1,Tue May 03 17:02:30 EDT 2022,0,0,GIPCRMINIOStaticArguments, , ,GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOStaticArguments ,A6AccessModifiersMatched A6ExpectedCalls A6ExpectedInterfaces A6ExpectedSignatures A6InterfaceAsType A6MnemonicNames A6NamedConstants A6NoCheckstyleWarnings A6ProjectOrganization A6PublicMethodsOverride A6TaggedClassesDefined GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic ,
2,Tue May 03 17:06:26 EDT 2022,0,0,Assignment6OneClientSuite, ,GIPCRMINIOStaticArguments+ ,GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic ,A6AccessModifiersMatched A6ExpectedCalls A6ExpectedInterfaces A6ExpectedSignatures A6InterfaceAsType A6MnemonicNames A6NamedConstants A6NoCheckstyleWarnings A6ProjectOrganization A6PublicMethodsOverride A6TaggedClassesDefined GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic ,
3,Tue May 03 17:09:58 EDT 2022,15,15,Assignment6OneClientSuite,GIPCRMINIOOneClientConnection+ GIPCRMINIOOneClientReadWriteNonAtomic+ GIPCRMINIOStaticArguments+ , , ,A6AccessModifiersMatched A6ExpectedCalls A6ExpectedInterfaces A6ExpectedSignatures A6InterfaceAsType A6MnemonicNames A6NamedConstants A6NoCheckstyleWarnings A6ProjectOrganization A6PublicMethodsOverride A6TaggedClassesDefined GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic ,
4,Tue May 03 17:11:29 EDT 2022,15,0,A6SpecificStyleSuite,GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOStaticArguments , ,A6ExpectedCalls+ A6ExpectedInterfaces+ A6ExpectedSignatures+ A6ProjectOrganization+ A6TaggedClassesDefined+ ,A6AccessModifiersMatched A6InterfaceAsType A6MnemonicNames A6NamedConstants A6NoCheckstyleWarnings A6PublicMethodsOverride GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic ,
5,Tue May 03 17:11:31 EDT 2022,15,0,A6SpecificStyleSuite,GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOStaticArguments , ,A6ExpectedCalls A6ExpectedInterfaces A6ExpectedSignatures A6ProjectOrganization A6TaggedClassesDefined ,A6AccessModifiersMatched A6InterfaceAsType A6MnemonicNames A6NamedConstants A6NoCheckstyleWarnings A6PublicMethodsOverride GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic ,
6,Tue May 03 17:11:32 EDT 2022,15,0,A6SpecificStyleSuite,GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOStaticArguments , ,A6ExpectedCalls A6ExpectedInterfaces A6ExpectedSignatures A6ProjectOrganization A6TaggedClassesDefined ,A6AccessModifiersMatched A6InterfaceAsType A6MnemonicNames A6NamedConstants A6NoCheckstyleWarnings A6PublicMethodsOverride GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic ,
7,Tue May 03 17:11:33 EDT 2022,15,0,A6GeneralStyleSuite,GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOStaticArguments , ,A6AccessModifiersMatched+ A6ExpectedCalls A6ExpectedInterfaces A6ExpectedSignatures A6InterfaceAsType+ A6MnemonicNames+ A6NamedConstants+ A6NoCheckstyleWarnings+ A6ProjectOrganization A6PublicMethodsOverride+ A6TaggedClassesDefined ,GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic ,
8,Tue May 03 17:12:59 EDT 2022,20,5,GIPCRMINIOTwoClientConnection,GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection+ , ,A6AccessModifiersMatched A6ExpectedCalls A6ExpectedInterfaces A6ExpectedSignatures A6InterfaceAsType A6MnemonicNames A6NamedConstants A6NoCheckstyleWarnings A6ProjectOrganization A6PublicMethodsOverride A6TaggedClassesDefined ,GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOTwoClientReadWriteNonAtomic ,
9,Tue May 03 17:15:32 EDT 2022,20,0,GIPCRMINIOServerMetaStateNoBroadcast,GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection , ,A6AccessModifiersMatched A6ExpectedCalls A6ExpectedInterfaces A6ExpectedSignatures A6InterfaceAsType A6MnemonicNames A6NamedConstants A6NoCheckstyleWarnings A6ProjectOrganization A6PublicMethodsOverride A6TaggedClassesDefined GIPCRMINIOServerMetaStateNoBroadcast+ ,GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOTwoClientReadWriteNonAtomic ,
10,Tue May 03 17:27:08 EDT 2022,45,25,Assignment6TwoClientSuite,GIPCRMINIOClientMetaStateBroadcast+ GIPCRMINIOClientMetaStateNoBroadcast+ GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast+ GIPCRMINIOServerMetaStateNoBroadcast+ GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic+ , ,A6AccessModifiersMatched A6ExpectedCalls A6ExpectedInterfaces A6ExpectedSignatures A6InterfaceAsType A6MnemonicNames A6NamedConstants A6NoCheckstyleWarnings A6ProjectOrganization A6PublicMethodsOverride A6TaggedClassesDefined , ,
